Queries,LLM Recommendations
"I need a fast, lightweight sentence-embedding model for semantic search on short customer queries (<20 words). Preferably multilingual, and must run on CPU.","dbpedia
all-mpnet-base-v2
roberta-base
roberta-large
xlm-roberta-large
gemini
t5-small
t5-large

opt-6.7b
"
"Which model is best for extracting key entities (person, organization, date) from messy, OCR-scanned documents with low accuracy?","
roberta-base
bert-base-cased
finbert
biogpt
t5-small
t5-large

gpt-j-6b
opt-6.7b
"
Recommend a model for generating concise product descriptions from bullet-point attributes. Must avoid hallucinations and be license-friendly for commercial use.,"gemini 
all-minilm-l6-v2
roberta-base
roberta-large
xlm-roberta-large

biogpt
t5-small
opt-6.7b
"
"Looking for a transformer suited for code summarization (Python + Java), optimized for inference speed, not training.","all-minilm-l6-v2
roberta-base
roberta-large
xlm-roberta-base
finbert
biogpt
t5-small
t5-large
mistral-7b

"
"Which model should I use to classify toxic vs. non-toxic messages in a multilingual social media moderation system, especially for low-resource languages?","
xlm-roberta-large
xlm-roberta-large-finetuned
roberta-base
roberta-large
all-mpnet-base-v2
bm25
hatebert
gemini
opt-6.7b
"
I need a small model (<500M params) for real-time speech-to-text transcription of English lectures with noisy audio.,"llama2-7b 
roberta-base
gsm8k 
xlm-roberta-large
finbert
bart-base
t5-small
t5-large
bart-base

"
Recommend an LLM that performs well on mathematical reasoning with long context (20k tokens) but has low GPU memory requirements.,"

llama2-7b 
xlm-roberta-base
xlm-roberta-large
finbert
t5-small
t5-large
falcon-7b
gpt-j-6b
"
Which model can convert informal WhatsApp messages into formal email text while preserving content but changing tone?,"mistral-7b
all-minilm-l6-v2
roberta-base
roberta-large
xlm-roberta-large
finbert
biogpt
en-core-web-sm

"
"Best model for biomedical NER focused on gene–disease interactions, with preference for models trained on PubMed or BioBERT variants?","opt-30b
all-minilm-l6-v2
roberta-base
roberta-large
xlm-roberta-large
finbert
llama2-7b 
clinicalbert
"
I need a model capable of detecting whether a given research paper actually used a listed ML model or just mentions it. Prefer high accuracy on long texts.,"bm25
all-minilm-l6-v2
roberta-base
xlm-roberta-large
biogpt
heBERT
t5-large
bert-base 
"
